cell,task,source,metric,n,n_front,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
llama.cpp | 1x RTX 4090 | text generation,LLM perplexity,llama.cpp,perplexity/100,37,10,0.052722,5.8583,2.9292,2.865,3.1112,0.1238,0.3577,0.816,1.007,-1.4,identified
llm-bench | AMD MI250 GPU x4 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,8,6,0.480958,0.81,0.405,0.2489,1.9784,0.7623,0.6943,0.622,2.205,-9.71,identified
llm-bench | AMD MI250 GPU x4 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,8,6,0.215917,1.3865,0.6933,0.4275,1.9725,0.6509,0.6955,1.216,2.205,-9.37,identified
llm-bench | AMD MI300X GPU x1 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,7,6,0.415984,1.8904,0.9452,0.5694,2.0426,0.3657,0.8798,0.407,2.067,-6.1,identified
llm-bench | AMD MI300X GPU x1 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,7,6,0.160106,2.7689,1.3845,0.9076,2.0545,0.2759,0.9838,0.597,2.067,4.75,identified
llm-bench | AMD MI300X GPU x1 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,7,6,0.293306,1.551,0.7755,0.5052,1.5685,0.255,0.9827,0.56,2.067,0.03,identified
llm-perf | 1xA10 | ARC-Challenge,LLM ARC-Challenge,llm-perf-task,ARC-Challenge,1312,12,0.443656,2.1737,1.0868,0.4744,2.8351,0.415,0.9488,0.664,1.409,8.4,identified
llm-perf | 1xA100 | ARC-Challenge,LLM ARC-Challenge,llm-perf-task,ARC-Challenge,262,8,0.4,1.5145,0.7573,0.2085,1.885,0.473,0.9276,0.829,3.251,5.52,identified
llm-perf | 1xA100 | BBH,LLM BBH,llm-perf-task,BBH,284,6,0.203973,0.2308,0.1154,0.097,0.7771,0.283,0.871,0.55,3.887,-9.91,identified
llm-perf | 1xA100 | HellaSwag,LLM HellaSwag,llm-perf-task,HellaSwag,284,9,0.093424,0.9439,0.472,0.3743,1.242,0.2414,0.9614,1.717,3.887,-2.95,identified
llm-perf | 1xA100 | IFEval,LLM IFEval,llm-perf-task,IFEval,284,8,0.620675,0.5003,0.2502,0.0444,1.0241,0.229,0.9295,0.207,3.887,1.09,identified
llm-perf | 1xA100 | MMLU,LLM MMLU,llm-perf-task,MMLU,251,8,0.109238,0.5641,0.282,0.2209,0.8943,0.2562,0.9386,1.319,3.887,-4.87,identified
llm-perf | 1xA100 | Winogrande,LLM Winogrande,llm-perf-task,Winogrande,284,7,0.240884,0.8239,0.412,0.2356,1.5643,0.4437,0.9023,1.112,3.887,-4.25,identified
llm-perf | 1xT4 | ARC-Challenge,LLM ARC-Challenge,llm-perf-task,ARC-Challenge,727,10,0.490975,3.3906,1.6953,0.5133,2.9332,0.5385,0.9276,0.694,0.882,2.13,identified
bench360 | 24GB-class GPU | vLLM | Extractive QA,LLM Extractive QA,bench360,F1,7,3,,,,,,,,0.6,0.507,,excluded: front shorter than six points
bench360 | 24GB-class GPU | vLLM | Knowledge and reasoning,LLM Knowledge and reasoning,bench360,Accuracy,7,4,,,,,,,,0.328,1.957,,excluded: front shorter than six points
bench360 | 24GB-class GPU | vLLM | Summarisation,LLM Summarisation,bench360,ROUGE-L,7,2,,,,,,,,0.02,0.755,,excluded: front shorter than six points
bench360 | 24GB-class GPU | vLLM | Text-to-SQL,LLM Text-to-SQL,bench360,Execution accuracy,7,4,,,,,,,,0.31,1.031,,excluded: front shorter than six points
llama.cpp | 1x RTX 4090 | prompt processing,LLM perplexity,llama.cpp,perplexity/100,37,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,5,3,,,,,,,,0.323,0.884,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,5,4,,,,,,,,0.317,0.113,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,5,4,,,,,,,,0.071,0.884,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,5,4,,,,,,,,1.202,0.113,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,5,3,,,,,,,,0.478,0.884,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,5,2,,,,,,,,0.088,0.113,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,5,4,,,,,,,,0.211,0.113,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,5,5,,,,,,,,0.663,0.884,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,5,4,,,,,,,,0.336,0.113,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,5,3,,,,,,,,0.116,0.113,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,5,3,,,,,,,,0.339,0.884,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,5,3,,,,,,,,0.17,1.272,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,5,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,5,3,,,,,,,,0.018,1.272,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,5,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,5,3,,,,,,,,0.399,1.272,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,5,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,5,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,5,2,,,,,,,,0.047,1.272,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,5,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,5,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x1 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,5,3,,,,,,,,0.337,1.272,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,5,3,,,,,,,,0.323,0.863,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,5,3,,,,,,,,0.317,0.105,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,5,5,,,,,,,,0.071,0.863,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,5,3,,,,,,,,1.202,0.105,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,5,3,,,,,,,,0.478,0.863,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,5,2,,,,,,,,0.088,0.105,,excluded: front shorter than six points
llm-bench | AMD MI250 GPU x2 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,5,3,,,,,,,,0.211,0.105,,excluded: front shorter than six points
